Hora de inicio,Duración (mm:ss),Producción (kg),Número de ordeño,Estado_Ubre,FlujoMedio_DI,FlujoMedio_DD,FlujoMedio_TI,FlujoMedio_TD,Sangre_DI,Sangre_DD,Sangre_TI,Sangre_TD,Conductividad_DI,Conductividad_DD,Conductividad_TI,Conductividad_TD,EO/PO,Destino Leche,FlujoMax_DI,FlujoMax_DD,FlujoMax_TI,FlujoMax_TD,Produccion_DI,Produccion_DD,Produccion_TI,Produccion_TD,vaca,vaca_id,fecha,Mastitis,EOPO_ID,FlujoMedio_promedio,Conductividad_promedio,FlujoMedio_std,Conductividad_std,Conductividad_rango,Conductividad_diff_max_prom,Conductividad_diff_min_prom,FlujoMedio_izq,FlujoMedio_der,Conductividad_izq,Conductividad_der,FlujoConductividad_ratio,Produccion_promedio,Produccion_total,Produccion_izq,Produccion_der,Produccion_diff_lados,Produccion_std,Produccion_ratio_lados,Produccion_rango,Eficiencia_flujo_produccion,Flujo_diff_lados,Conductividad_diff_lados,Indice_asimetria_flujo,Indice_asimetria_conductividad,Flujo_ratio_max_min,Eficiencia_conductividad,Flujo_conductividad_balance,Flujo_por_kg,Conductividad_por_kg,Conductividad_sobre_flujo,CV_flujo,CV_conductividad,Conductividad_rango_relativo,Indice_variabilidad_total,Score_anomalia_simple,Produccion_promedio_prev,Conductividad_promedio_prev,delta_produccion_promedio,delta_conductividad_promedio,tasa_cambio_produccion,tasa_cambio_conductividad,prob_xgb,thr_0.9,thr_0.8,thr_0.7,thr_0.6,thr_0.59,thr_0.38,thr_0.03,thr_0.01,thr_0.005,thr_0.001,total_alertas,nivel_alarma
2022-11-20 10:06:00,12:25,11.07,1,0,2.34,0.6,0.72,0.54,5187,2174,1088,1186,2.14,2.95,3.39,3.15,VMS 3,Divert 3,0.52,0.96,1.32,0.96,3.82,1.59,1.78,3.88,1552,1552,2022-11-20 00:00:00,0,1,1.05,2.9075,0.863249674,0.542363654,1.25,0.4825,0.7675,1.53,0.57,2.765,3.05,0.361134996,2.7675,11.07,5.6,5.47,0.13,1.252607281,1.023765996,2.29,0.379403794,0.96,0.285,0.822141764,0.186539456,4.333325309,0.95184834,0.361134871,0.09485094,0.262646769,2.769044982,0.822141764,0.186539456,0.429922466,0.702806664,1.438603686,0,0,0,0,0,0,7.67474E-05,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-20 22:45:00,09:41,7.68,2,0,0.24,0.66,0.78,0.42,0,2078,893,684,1.21,2.75,4.21,3.73,VMS 3,Divert 3,0.54,1.08,1.38,0.78,0.32,2.31,2.42,2.63,1552,1552,2022-11-20 00:00:00,0,1,0.525,2.975,0.241867732,1.324273386,3,1.235,1.765,0.51,0.54,2.71,3.24,0.176470588,1.92,7.68,2.74,4.94,2.2,1.074895344,1.802919708,2.31,0.2734375,0.03,0.53,0.460699565,0.445133762,3.249986458,0.645377934,0.176470529,0.068359366,0.387369741,5.666655873,0.460699565,0.445133762,1.008403022,0.783070559,1.914236349,2.7675,2.9075,-0.8475,0.0675,-0.306232952,0.023215813,0.000562123,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-22 13:08:00,14:36,21.84,1,0,0.6,0.72,0.96,0.6,7974,2470,678,383,3.04,4.36,4.46,4.7,VMS 3,Divert 3,1.02,1.08,1.5,1.2,4.67,5.5,5.09,6.58,1552,1552,2022-11-22 00:00:00,0,1,0.72,4.14,0.169705627,0.747083217,1.66,0.56,1.1,0.78,0.66,3.75,4.53,0.173913043,5.46,21.84,9.76,12.08,2.32,0.819959349,1.237704918,1.91,0.131868132,0.12,0.78,0.235701933,0.18045484,1.599997333,1.318840261,0.173913001,0.032967031,0.189560431,5.749992014,0.235701933,0.18045484,0.400966087,0.458394422,0.81712286,1.92,2.975,3.54,1.165,1.84374904,0.391596507,3.62079E-06,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-23 11:57:00,12:36,19.06,1,1,0.48,0.66,0.96,0.66,6473,1586,485,389,3.77,4.26,4.28,4.18,VMS 3,Divert 3,0.9,1.2,1.38,1.08,3.57,4.16,5.26,6.07,1552,1552,2022-11-23 00:00:00,0,1,0.69,4.1225,0.198997487,0.238938625,0.51,0.1575,0.3525,0.72,0.66,4.025,4.22,0.167374166,4.765,19.06,8.83,10.23,1.4,1.116855705,1.158550396,2.5,0.144805876,0.06,0.195,0.288401738,0.057959628,1.999995833,1.155851751,0.167374126,0.036201467,0.21629065,5.974629022,0.288401738,0.057959628,0.12371131,0.218968056,0.470072676,5.46,4.14,-0.695,-0.0175,-0.127289354,-0.004227052,1.18106E-06,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-24 03:31:00,09:12,14.09,1,1,0.72,0.96,1.02,0.66,1989,676,0,0,4.08,4.28,4.38,4.41,VMS 3,Tanque,1.14,1.44,1.38,1.02,2.96,3.02,3.63,4.48,1552,1552,2022-11-24 00:00:00,0,1,0.84,4.2875,0.176635217,0.149080515,0.33,0.1225,0.2075,0.87,0.81,4.23,4.345,0.195918367,3.5225,14.09,6.59,7.5,0.91,0.706464201,1.138088012,1.52,0.238466998,0.06,0.115,0.21027977,0.034770958,1.545452204,0.821574152,0.195918322,0.059616745,0.304293804,5.10416059,0.21027977,0.034770958,0.076967912,0.162857866,0.32201864,4.765,4.1225,-1.2425,0.165,-0.260755454,0.040024247,2.14637E-06,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-24 21:16:00,11:40,16.47,2,1,0.6,0.6,0.96,0.54,2294,373,0,0,4.04,4.64,4.66,4.62,VMS 3,Tanque,1.02,0.84,1.26,0.9,3.42,3.9,4.38,4.77,1552,1552,2022-11-24 00:00:00,0,1,0.675,4.49,0.192093727,0.300444116,0.62,0.17,0.45,0.78,0.57,4.35,4.63,0.150334076,4.1175,16.47,7.8,8.67,0.87,0.585512596,1.111538462,1.35,0.163934426,0.21,0.28,0.284582878,0.066914042,1.777774486,0.917037658,0.150334042,0.040983604,0.272616863,6.651841997,0.284582878,0.066914042,0.138084602,0.246268921,0.489581522,3.5225,4.2875,0.595,0.2025,0.168914076,0.04723031,1.1419E-06,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-25 19:14:00,11:43,16.23,1,1,0.66,0.72,1.02,0.6,2084,0,0,0,4.78,4.81,4.86,4.92,VMS 3,Tanque,1.08,1.2,1.32,1.08,3.34,3.65,4.26,4.98,1552,1552,2022-11-25 00:00:00,0,1,0.75,4.8425,0.186547581,0.061305247,0.14,0.0775,0.0625,0.84,0.66,4.82,4.865,0.154878678,4.0575,16.23,7.6,8.63,1.03,0.724079876,1.135526316,1.64,0.184842884,0.18,0.045,0.248729776,0.012659832,1.699997167,0.837893477,0.154878646,0.046210718,0.298367203,6.456658058,0.248729776,0.012659832,0.028910681,0.123926414,0.290300289,4.1175,4.49,-0.06,0.3525,-0.014571945,0.078507778,8.54176E-07,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-26 15:13:00,09:43,15.95,1,1,0.72,0.78,0.96,0.6,781,0,0,0,4.3,4.21,4.32,4.19,VMS 3,Tanque,1.08,1.14,1.32,1.08,3.58,3.9,4,4.47,1552,1552,2022-11-26 00:00:00,0,1,0.765,4.255,0.15,0.064549722,0.13,0.065,0.065,0.84,0.69,4.31,4.2,0.179788484,3.9875,15.95,7.58,8.37,0.79,0.368182473,1.104221636,0.89,0.19184953,0.15,0.11,0.196078175,0.015170319,1.599997333,0.937132565,0.179788442,0.047962379,0.266771143,5.562084233,0.196078175,0.015170319,0.030552284,0.107274861,0.241800778,4.0575,4.8425,-0.07,-0.5875,-0.017251998,-0.121321606,3.83402E-07,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-26 22:54:00,06:42,7.3,2,0,0.6,0.78,0.96,0.54,0,0,0,0,3.84,4.01,4.19,4.05,VMS 3,Tanque,1.02,1.32,1.26,0.78,1.52,1.69,1.92,2.17,1552,1552,2022-11-26 00:00:00,0,1,0.72,4.0225,0.18973666,0.144077525,0.35,0.1675,0.1825,0.78,0.66,4.015,4.03,0.178993163,1.825,7.3,3.44,3.86,0.42,0.282429932,1.122093023,0.65,0.394520548,0.12,0.015,0.263522772,0.035817897,1.777774486,0.453697836,0.178993119,0.098630123,0.551027322,5.586797796,0.263522772,0.035817897,0.087010544,0.166907093,0.386351213,3.9875,4.255,-2.1625,-0.2325,-0.542319613,-0.054641585,5.38771E-05,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
2022-11-27 22:07:00,11:59,18.91,1,0,0.66,0.9,0.9,0.6,0,0,0,0,4.68,4.86,4.84,4.79,VMS 3,Tanque,1.08,1.26,1.44,1.02,4.26,4.16,5.2,5.29,1552,1552,2022-11-27 00:00:00,0,1,0.765,4.7925,0.157797338,0.08057088,0.18,0.0675,0.1125,0.78,0.75,4.76,4.825,0.159624413,4.7275,18.91,9.46,9.45,0.01,0.600076384,1.001058201,1.13,0.161819143,0.03,0.065,0.206270761,0.016811865,1.4999975,0.986436936,0.15962438,0.040454784,0.253437321,6.264697693,0.206270761,0.016811865,0.037558678,0.119184109,0.260641304,1.825,4.0225,2.9025,0.77,1.590410087,0.191423197,1.32086E-06,0,0,0,0,0,0,0,0,0,0,0,Sin alerta
