Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación
06/06/2025 07:09 p. m.,Ordeño,11:27,6.99,1,,,,,0,,1.66,1.26,2.09,1.98,VMS 3,,Divert 3,
07/06/2025 06:26 a. m.,Ordeño,05:35,4.57,1,,,,,0,,1.16,0.85,1.35,1.21,VMS 3,,Divert 3,
08/06/2025 02:05 a. m.,Ordeño,10:18,13.30,1,,,,,0,,3.21,2.74,3.77,3.58,VMS 3,,Divert 3,
10/06/2025 08:21 a. m.,Ordeño,11:10,9.99,1,,,,,1,,2.22,1.97,2.73,3.07,VMS 3,,Divert 3,
12/06/2025 01:56 a. m.,Ordeño,08:53,11.26,1,,,,,0,,2.63,2.17,3.38,3.08,VMS 3,,Tanque,
12/06/2025 10:49 p. m.,Ordeño,08:26,11.34,2,,,,,0,"DI,1.56,1.26,2.67,2.38,5.39,3.51,VMS 3,
15/06/2025 01:20 a. m.,Ordeño,10:22,9.65,1,,TI,,,0,,2.83,2.25,1.56,3.01,VMS 3,,Tanque,
16/06/2025 07:44 a. m.,Ordeño,08:51,12.66,1,,,,,0,,2.78,2.78,3.68,3.42,VMS 3,,Tanque,
17/06/2025 11:30 a. m.,Ordeño,09:18,15.38,1,,,,,0,,3.32,3.20,4.12,4.74,VMS 3,,Tanque,
19/06/2025 07:29 a. m.,Ordeño,10:44,10.43,1,,,,TD,1,"DI,0.00,3.57,3.25,3.61,0.00,VMS 3,,Tanque
20/06/2025 11:24 a. m.,Ordeño,14:05,4.67,1,,TI,"TI,TD",TD,0,0.00,1.79,2.58,0.30,0.00,VMS 3,,Tanque
21/06/2025 09:42 a. m.,Ordeño,08:47,10.52,1,,,TD,TD,1,,3.00,3.26,4.26,0.00,VMS 3,,Tanque,
22/06/2025 04:28 a. m.,Ordeño,14:32,4.36,1,,,"DD,TD","DD,TD",1.08,0.00,2.49,0.00,4.82,0.00,VMS 3,
22/06/2025 07:58 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
23/06/2025 07:51 a. m.,Ordeño,09:21,11.39,1,,,,,0,DD,2.99,2.36,3.76,2.28,VMS 3,,Tanque,
24/06/2025 12:51 a. m.,Ordeño,11:50,4.23,1,,,"TI,TD","TI,TD",0.00,0.00,2.44,1.79,0.00,0.00,VMS 3,
24/06/2025 06:14 a. m.,Ordeño,12:46,6.59,2,,,,,0,TD,0.92,0.79,3.63,1.25,VMS 3,,Tanque,
24/06/2025 05:22 p. m.,Ordeño,10:17,6.32,3,,TD,,,0,,1.85,1.71,2.30,0.46,VMS 3,,Tanque,
25/06/2025 04:09 a. m.,Ordeño,13:51,2.26,1,,,"DD,TI,TD","DD,0.00,1.14,0.00,1.96,0.00,2.48,0.00,VMS 3
25/06/2025 04:23 a. m.,Ordeño,09:39,3.95,2,,DD,,"DI,DD",0,0.90,0.00,0.17,2.10,3.62,VMS 3,,Tanque
25/06/2025 05:24 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
25/06/2025 09:43 a. m.,Rechazada,00:00,,,,,,,,,,,,,VMS 3,,,
25/06/2025 05:41 p. m.,Ordeño,08:53,11.06,3,,,,,0,,2.40,3.30,3.00,2.36,VMS 3,,Tanque,
26/06/2025 06:14 a. m.,Ordeño,08:18,9.54,1,,,,,0,,2.49,2.16,2.65,2.24,VMS 3,,Tanque,
26/06/2025 05:05 p. m.,Ordeño,12:04,6.62,2,,,,TD,0,,2.15,2.03,2.44,0.00,VMS 3,,Tanque,
27/06/2025 05:38 a. m.,Ordeño,12:42,12.17,1,,,,,0,DD,2.64,2.44,3.08,4.01,VMS 3,,Tanque,
27/06/2025 11:09 p. m.,Ordeño,11:39,7.26,2,,,"DD,TD","DD,TD",1.32,0.00,3.30,0.00,4.67,0.00,VMS 3,
28/06/2025 06:43 a. m.,Ordeño,07:33,6.93,1,,TD,DI,DI,0,,0.00,2.90,1.63,2.40,VMS 3,,Tanque,
28/06/2025 11:46 p. m.,Ordeño,09:57,15.01,2,,,,,0,,3.56,2.92,4.92,3.61,VMS 3,,Tanque,
